region,country,site,community,latitude,longitude
East Africa,Ethiopia,Doyogena,Cholola 2,7.35,37.78333
East Africa,Ethiopia,Doyogena,Duna,7.35,37.78333
East Africa,Ethiopia,Doyogena,Gatame 1,7.35,37.78333
East Africa,Ethiopia,Doyogena,Gewada,7.35,37.78333
East Africa,Ethiopia,Doyogena,Suticho,7.35,37.78333
East Africa,Ethiopia,Doyogena,Tachignaw Genjo,7.35,37.78333
East Africa,Ethiopia,Doyogena,Tula,7.35,37.78333
East Africa,Uganda,Hoima,Kasinina,1.475,31.515
East Africa,Uganda,Hoima,Katikara,1.51,31.405
East Africa,Uganda,Hoima,Kibaire,1.491,31.516
East Africa,Uganda,Hoima,Kiranga,1.458,31.511
East Africa,Uganda,Hoima,Kyamongi,1.47,31.443
East Africa,Uganda,Hoima,Mparangasi,1.484,31.454
East Africa,Uganda,Hoima,Nyakakonge,1.457,31.461
East Africa,Ethiopia,Basona Werana,Gina Beret,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Gudoberet Ketema,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Mewkeria Ager,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Misage,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Mush,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Selafa,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Tosign Amba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Worage,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Woregune,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Kese Amba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Kolo Amba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Koshim,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Nefage,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Dube hager,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Aregaye Belge,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Enate Hode,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Dube hager Tach amba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Woldab ager,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Debe Ager Lay Amba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Tach Mush,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Tef Amba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Gedeba,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Amba Mado,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Woldabager,"9.751213223780358, ",39.56211213
East Africa,Ethiopia,Basona Werana,Tach Mush Lay Amba,"9.751213223780358, ",39.56211213
Latin America,Colombia,Cauca,Los Cerrillos,2.55,-76.747
Latin America,Colombia,Cauca,El Danubio,2.562,-76.74
Latin America,Colombia,Cauca,La Mota,2.54,-76.644
Latin America,Colombia,Cauca,Las Mercedes,2.546,-76.72
Latin America,Colombia,Cauca,Los Tendidos,2.499,-76.674
Latin America,Colombia,Cauca,San Antonio,2.545,-76.663
Latin America,Colombia,Cauca,San Rafael,2.521,-76.685
Latin America,Guatemala,Olopa,El Guayabo Tercer Caserio,14.695,-89.38
Latin America,Guatemala,Olopa,La Prensa Centro,14.726,-89.266
Latin America,Guatemala,Olopa,Nochan,14.683,-89.372
Latin America,Guatemala,Olopa,Prensa Arriba,14.72454,-89.26707
Latin America,Guatemala,Olopa,Tituque Tishmuntique,14.711,-89.36
Latin America,Guatemala,Olopa,Tuticopote Abajo Caserio El Bendito,14.712,-89.343
Latin America,Guatemala,Olopa,Tuticopote Centro,14.71115,-89.34354
Latin America,Guatemala,Olopa,Valle nuevo,14.68,-89.291
Latin America,Honduras,Santa Rita,Aldea Nueva,14.917,-89.133
Latin America,Honduras,Santa Rita,El Mirador,14.879,-89.007
Latin America,Honduras,Santa Rita,La Arada,14.915,-89.06
Latin America,Honduras,Santa Rita,La Casita,14.834866,-89.042466
Latin America,Honduras,Santa Rita,La Hermosura,14.862,-88.968
Latin America,Honduras,Santa Rita,Queseras,14.68333,-89.13333
Latin America,Honduras,Santa Rita,Rastrojitos,14.93,-88.983
Latin America,Honduras,Santa Rita,Tierra Fria 1,14.875,-89.104
Latin America,Honduras,Santa Rita,Vado Ancho,14.824,-89.024
Latin America,Honduras,Santa Rita,Villanueva,14.834866,-89.042466
Latin America,Nicaragua,El Tuma-La Dalia,Aguas Amarillas,13.089,-85.676
Latin America,Nicaragua,El Tuma-La Dalia,El Consuelo,13.09233333,-85.67966667
