year,site,outcome_category,practice_type,indicator,gender,n,n_site,percentage,option
2017,Lawra-Jirapa,Climate shocks,Agroforestry,Reduced climate vulner.,Female,151,157,96.2,Practices
2017,Lawra-Jirapa,Climate shocks,Agroforestry,Reduced climate vulner.,Male,161,167,96.4,Practices
2017,Lawra-Jirapa,Climate shocks,Crop rotation,Reduced climate vulner.,Female,149,157,94.9,Practices
2017,Lawra-Jirapa,Climate shocks,Crop rotation,Reduced climate vulner.,Male,161,167,96.4,Practices
2017,Lawra-Jirapa,Climate shocks,Garden diversification,Reduced climate vulner.,Female,159,157,101.3,Practices
2017,Lawra-Jirapa,Climate shocks,Garden diversification,Reduced climate vulner.,Male,164,167,98.2,Practices
2017,Lawra-Jirapa,Climate shocks,Improved varieties,Reduced climate vulner.,Female,153,157,97.5,Practices
2017,Lawra-Jirapa,Climate shocks,Improved varieties,Reduced climate vulner.,Male,165,167,98.8,Practices
2017,Lawra-Jirapa,Climate shocks,Intercropping,Reduced climate vulner.,Female,157,157,100,Practices
2017,Lawra-Jirapa,Climate shocks,Intercropping,Reduced climate vulner.,Male,163,167,97.6,Practices
2017,Lawra-Jirapa,Climate shocks,Mulching,Reduced climate vulner.,Female,160,157,101.9,Practices
2017,Lawra-Jirapa,Climate shocks,Mulching,Reduced climate vulner.,Male,169,167,101.2,Practices
2017,Lawra-Jirapa,Climate shocks,Nutrient mng.,Reduced climate vulner.,Female,160,157,101.9,Practices
2017,Lawra-Jirapa,Climate shocks,Nutrient mng.,Reduced climate vulner.,Male,167,167,100,Practices
2017,Lawra-Jirapa,Climate shocks,Organic fertilizer,Reduced climate vulner.,Female,151,157,96.2,Practices
2017,Lawra-Jirapa,Climate shocks,Organic fertilizer,Reduced climate vulner.,Male,157,167,94,Practices
2017,Lawra-Jirapa,Climate shocks,Reduce tillage,Reduced climate vulner.,Female,156,157,99.4,Practices
2017,Lawra-Jirapa,Climate shocks,Reduce tillage,Reduced climate vulner.,Male,163,167,97.6,Practices
2017,Lawra-Jirapa,Climate shocks,Water harvesting,Reduced climate vulner.,Female,160,157,101.9,Practices
2017,Lawra-Jirapa,Climate shocks,Water harvesting,Reduced climate vulner.,Male,169,167,101.2,Practices
2017,Lawra-Jirapa,Food security,Agroforestry,Improved food access,Female,116,157,73.9,Practices
2017,Lawra-Jirapa,Food security,Agroforestry,Improved food access,Male,118,167,70.7,Practices
2017,Lawra-Jirapa,Food security,Agroforestry,Improved food diversity,Female,143,157,91.1,Practices
2017,Lawra-Jirapa,Food security,Agroforestry,Improved food diversity,Male,154,167,92.2,Practices
2017,Lawra-Jirapa,Food security,Crop rotation,Improved food access,Female,95,157,60.5,Practices
2017,Lawra-Jirapa,Food security,Crop rotation,Improved food access,Male,99,167,59.3,Practices
2017,Lawra-Jirapa,Food security,Crop rotation,Improved food diversity,Female,133,157,84.7,Practices
2017,Lawra-Jirapa,Food security,Crop rotation,Improved food diversity,Male,149,167,89.2,Practices
2017,Lawra-Jirapa,Food security,Garden diversification,Improved food access,Female,159,157,101.3,Practices
2017,Lawra-Jirapa,Food security,Garden diversification,Improved food access,Male,162,167,97,Practices
2017,Lawra-Jirapa,Food security,Garden diversification,Improved food diversity,Female,160,157,101.9,Practices
2017,Lawra-Jirapa,Food security,Garden diversification,Improved food diversity,Male,165,167,98.8,Practices
2017,Lawra-Jirapa,Food security,Improved varieties,Improved food access,Female,105,157,66.9,Practices
2017,Lawra-Jirapa,Food security,Improved varieties,Improved food access,Male,106,167,63.5,Practices
2017,Lawra-Jirapa,Food security,Improved varieties,Improved food diversity,Female,130,157,82.8,Practices
2017,Lawra-Jirapa,Food security,Improved varieties,Improved food diversity,Male,147,167,88,Practices
2017,Lawra-Jirapa,Food security,Intercropping,Improved food access,Female,98,157,62.4,Practices
2017,Lawra-Jirapa,Food security,Intercropping,Improved food access,Male,100,167,59.9,Practices
2017,Lawra-Jirapa,Food security,Intercropping,Improved food diversity,Female,157,157,100,Practices
2017,Lawra-Jirapa,Food security,Intercropping,Improved food diversity,Male,163,167,97.6,Practices
2017,Lawra-Jirapa,Food security,Mulching,Improved food access,Female,157,157,100,Practices
2017,Lawra-Jirapa,Food security,Mulching,Improved food access,Male,162,167,97,Practices
2017,Lawra-Jirapa,Food security,Mulching,Improved food diversity,Female,156,157,99.4,Practices
2017,Lawra-Jirapa,Food security,Mulching,Improved food diversity,Male,169,167,101.2,Practices
2017,Lawra-Jirapa,Food security,Nutrient mng.,Improved food access,Female,140,157,89.2,Practices
2017,Lawra-Jirapa,Food security,Nutrient mng.,Improved food access,Male,135,167,80.8,Practices
2017,Lawra-Jirapa,Food security,Nutrient mng.,Improved food diversity,Female,156,157,99.4,Practices
2017,Lawra-Jirapa,Food security,Nutrient mng.,Improved food diversity,Male,162,167,97,Practices
2017,Lawra-Jirapa,Food security,Organic fertilizer,Improved food access,Female,97,157,61.8,Practices
2017,Lawra-Jirapa,Food security,Organic fertilizer,Improved food access,Male,90,167,53.9,Practices
2017,Lawra-Jirapa,Food security,Organic fertilizer,Improved food diversity,Female,114,157,72.6,Practices
2017,Lawra-Jirapa,Food security,Organic fertilizer,Improved food diversity,Male,126,167,75.4,Practices
2017,Lawra-Jirapa,Food security,Reduce tillage,Improved food access,Female,133,157,84.7,Practices
2017,Lawra-Jirapa,Food security,Reduce tillage,Improved food access,Male,133,167,79.6,Practices
2017,Lawra-Jirapa,Food security,Reduce tillage,Improved food diversity,Female,145,157,92.4,Practices
2017,Lawra-Jirapa,Food security,Reduce tillage,Improved food diversity,Male,160,167,95.8,Practices
