region,country,site,latitude_site,longitude_site,n,category,details
East Africa,Ethiopia,Doyogena,7.35,37.78333,2,Years,"2020
 2019"
East Africa,Ethiopia,Doyogena,7.35,37.78333,10,Communities,"Cholola 2
 Duna
 Gatame 1
 Gewada
 Suticho
 Tachignaw Genjo
 Tula"
East Africa,Ethiopia,Doyogena,7.35,37.78333,8,Practices,"Water and soil conservation
 Agroforestry (m & g)
 Pasture management (m)
 Improved varieties
 Crop rotation
 Crop residue incorporation (m)
 Green manure (m & g)
 Improved breeds (m & g)"
East Africa,Ethiopia,Doyogena,7.35,37.78333,403,Households,"70% accessed CIS,
89% implemented
 at least 1 practice.
From them:
15%  were female-headed
 79%  were male-headed"
East Africa,Ethiopia,Doyogena,7.35,37.78333,86,Weather shocks,"96% made changes due to weather 
 and 23% autonomous changes.
The most common shocks were:
Frost
 Irregular rains
 Heavy rains"
East Africa,Ethiopia,Doyogena,7.35,37.78333,792,Farmers,"53% accessed CIS,
86% implemented
 at least 1 practice.
From them:
42%  were female
 44%  were male"
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,2,Years,"2021
 2018"
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,7,Communities,"Kasinina
 Katikara
 Kibaire
 Kiranga
 Kyamongi
 Mparangasi
 Nyakakonge"
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,5,Practices,"Water and soil conservation
 Agroforestry (m & g)
 Intercropping + improved varieties
 Improved varieties"
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,541,Households,"61% accessed CIS,
78% implemented
 at least 1 practice.
From them:
18%  were female-headed
 60%  were male-headed"
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,58,Weather shocks,"99% made changes due to weather 
 and 61% autonomous changes.
The most common shocks were:
Irregular rains
 Heavy rains
 Drought"
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,787,Farmers,"51% accessed CIS,
67% implemented
 at least 1 practice.
From them:
33%  were female
 35%  were male"
East Africa,Ethiopia,Basona Werana,9.751213223780358,39.56211213,1,Years,2021
East Africa,Ethiopia,Basona Werana,9.751213223780358,39.56211213,25,Communities,"Gina Beret
 Gudoberet Ketema
 Mewkeria Ager
 Misage
 Mush
 Selafa
 Tosign Amba
 Worage
 Woregune
 Kese Amba
 Kolo Amba
 Koshim
 Nefage
 Dube hager
 Aregaye Belge
 Enate Hode
 Dube hager Tach amba
 Woldab ager
 Debe Ager Lay Amba
 Tach Mush
 Tef Amba
 Gedeba
 Amba Mado
 Woldabager
 Tach Mush Lay Amba"
East Africa,Ethiopia,Basona Werana,9.751213223780358,39.56211213,3,Practices,"Water and soil conservation
 Enclosures
 Water harvesting"
East Africa,Ethiopia,Basona Werana,9.751213223780358,39.56211213,392,Households,"75% accessed CIS,
85% implemented
 at least 1 practice.
From them:
9%  were female-headed
 82%  were male-headed"
East Africa,Ethiopia,Basona Werana,9.751213223780358,39.56211213,73,Weather shocks,"100% made changes due to weather 
 and 7% autonomous changes.
The most common shocks were:
Strong winds
 Frost
 Heavy rains"
East Africa,Ethiopia,Basona Werana,9.751213223780358,39.56211213,676,Farmers,"59% accessed CIS,
74% implemented
 at least 1 practice.
From them:
31%  were female
 43%  were male"
Latin America,Colombia,Cauca,2.5375714285714284,-76.69614285714286,2,Years,"2019
 2018"
