region,country,site,latitude_site,longitude_site,option,year,practice_type,subtype,description,adopted_cases,gender,n,n_site,percentage
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Heard about it,Female,9,396,2.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Heard about it,Male,1,396,0.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Implemented,Female,82,396,20.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Implemented,Male,96,396,24.2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Know about it,Female,17,396,4.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Know about it,Male,26,396,6.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Never heard about it,Female,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Never heard about it,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Stopped implementing,Female,5,396,1.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Agroforestry,Agroforestry fallow,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms  nd in agricultural landscapes which diversifies and sustains production for increased economic, social and environmental benefits for land users.",Stopped implementing,Male,2,396,0.5
